GEOID,County,Hogan,Cox,pctHogan,pctCox
24001,Allegany,19224,13833,0.8341896245278826,0.788440986619929
24003,Anne Arundel,157202,73775,6.821487586091981,4.204961598198891
24510,Baltimore City,58360,11387,2.532423350366585,0.6490260619273572
24005,Baltimore County,198122,80759,8.597134664518997,4.6030293962581394
24009,Calvert,29610,18447,1.2848707231726284,1.0514256401487625
24011,Caroline,9489,6727,0.4117574566762942,0.383419541458271
24013,Carroll,62445,38969,2.7096843062652742,2.221120278145884
24015,Cecil,27063,18159,1.1743484086869584,1.0350104732184842
24017,Charles,31756,15096,1.3779923905798712,0.8604283332620869
24019,Dorchester,9205,6169,0.39943380637636083,0.3516151555308568
24021,Frederick,72560,44307,3.148605865363253,2.5253708374300006
24023,Garrett,9472,8195,0.41101977338369244,0.46709129511677283
24025,Harford,85259,51930,3.699655284936681,2.959859787115804
24027,Howard,80574,33110,3.4963584481226393,1.887174225908035
24029,Kent,6370,3718,0.27641426905132194,0.21191524530130096
24031,Montgomery,180018,58701,7.8115453510331045,3.345787201299534
24033,Prince George's,89925,17937,3.902127652188402,1.0223571153763946
24035,Queen Anne's,19503,12840,0.8462963091535214,0.731842858974907
24039,Somerset,5203,3974,0.225774480670962,0.22650650479488166
24041,Talbot,14081,7497,0.6110187319484559,0.42730731415380674
24043,Washington,38765,27571,1.682134872806043,1.571467248037162
24045,Wicomico,22659,14612,0.9832450427682737,0.8328417332820359
24047,Worcester,18076,13433,0.7843743057098421,0.7656421436612092
